Loading datasets...
Datasets loaded to GPU.
Worker 6/8: sweep 0acb79e7, 25/200 runs

[worker 6] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 113, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.114,0.961,1.000,0.899
[2 of 100],20000,0.030,0.992,1.000,0.999
[3 of 100],30000,0.014,0.996,1.000,0.986
[4 of 100],40000,0.021,0.995,0.999,0.978
[5 of 100],50000,0.001,1.000,1.000,0.997
[6 of 100],60000,0.000,1.000,1.000,0.998
[7 of 100],70000,0.000,1.000,1.000,0.996
[8 of 100],80000,0.017,0.996,1.000,0.996
[9 of 100],90000,0.007,0.998,1.000,0.932
[10 of 100],100000,0.003,0.999,1.000,0.964
[11 of 100],110000,0.000,1.000,1.000,0.970
[12 of 100],120000,0.000,1.000,1.000,0.970
[13 of 100],130000,0.000,1.000,1.000,0.971
[14 of 100],140000,0.000,1.000,1.000,0.971
[15 of 100],150000,0.000,1.000,1.000,0.971
[16 of 100],160000,0.013,0.997,1.000,0.992
[17 of 100],170000,0.002,1.000,1.000,0.996
[18 of 100],180000,0.000,1.000,1.000,0.995
[19 of 100],190000,0.004,0.999,1.000,0.961
[20 of 100],200000,0.000,1.000,1.000,0.977
[21 of 100],210000,0.000,1.000,1.000,0.979
[22 of 100],220000,0.000,1.000,1.000,0.982
[23 of 100],230000,0.000,1.000,1.000,0.984
[24 of 100],240000,0.000,1.000,1.000,0.986
[25 of 100],250000,0.000,1.000,1.000,0.990
[26 of 100],260000,0.000,1.000,1.000,0.994
[27 of 100],270000,0.000,1.000,1.000,0.995
[28 of 100],280000,0.000,1.000,1.000,0.994
[29 of 100],290000,0.000,1.000,1.000,0.995
[30 of 100],300000,0.000,1.000,1.000,0.995
[31 of 100],310000,0.000,1.000,1.000,0.995
[32 of 100],320000,0.000,1.000,1.000,0.995
[33 of 100],330000,0.000,1.000,1.000,0.995
[34 of 100],340000,0.004,0.999,0.989,0.972
[35 of 100],350000,0.006,0.998,0.999,0.991
[36 of 100],360000,0.000,1.000,1.000,1.000
[37 of 100],370000,0.000,1.000,1.000,1.000
[38 of 100],380000,0.000,1.000,1.000,1.000
[39 of 100],390000,0.000,1.000,1.000,1.000
[40 of 100],400000,0.000,1.000,1.000,1.000
[41 of 100],410000,0.000,1.000,1.000,1.000
[42 of 100],420000,0.020,0.996,0.999,0.924
[43 of 100],430000,0.012,0.996,1.000,0.965
[44 of 100],440000,0.000,1.000,1.000,0.977
[45 of 100],450000,0.000,1.000,1.000,0.977
[46 of 100],460000,0.000,1.000,1.000,0.989
[47 of 100],470000,0.000,1.000,1.000,0.987
[48 of 100],480000,0.000,1.000,1.000,0.989
[49 of 100],490000,0.010,0.997,0.997,0.765
[50 of 100],500000,0.002,0.999,1.000,0.851
[51 of 100],510000,0.002,0.999,1.000,0.866
[52 of 100],520000,0.001,1.000,1.000,0.875
[53 of 100],530000,0.000,1.000,1.000,0.872
[54 of 100],540000,0.000,1.000,1.000,0.889
[55 of 100],550000,0.009,0.998,0.997,0.767
[56 of 100],560000,0.002,0.999,1.000,0.891
[57 of 100],570000,0.000,1.000,1.000,0.895
[58 of 100],580000,0.000,1.000,1.000,0.898
[59 of 100],590000,0.005,0.999,1.000,0.908
[60 of 100],600000,0.000,1.000,1.000,0.912
[61 of 100],610000,0.000,1.000,1.000,0.830
[62 of 100],620000,0.000,1.000,1.000,0.878
[63 of 100],630000,0.000,1.000,1.000,0.882
[64 of 100],640000,0.000,1.000,1.000,0.891
[65 of 100],650000,0.000,1.000,1.000,0.894
[66 of 100],660000,0.000,1.000,1.000,0.897
[67 of 100],670000,0.000,1.000,1.000,0.900
[68 of 100],680000,0.000,1.000,1.000,0.904
[69 of 100],690000,0.000,1.000,1.000,0.904
[70 of 100],700000,0.000,1.000,1.000,0.903
[71 of 100],710000,0.000,1.000,1.000,0.900
[72 of 100],720000,0.000,1.000,1.000,0.898
[73 of 100],730000,0.000,1.000,1.000,0.896
[74 of 100],740000,0.000,1.000,1.000,0.896
[75 of 100],750000,0.000,1.000,1.000,0.895
[76 of 100],760000,0.007,0.999,1.000,0.953
[77 of 100],770000,0.000,1.000,1.000,0.954
[78 of 100],780000,0.000,1.000,1.000,0.957
[79 of 100],790000,0.000,1.000,1.000,0.957
[80 of 100],800000,0.000,1.000,1.000,0.958
[81 of 100],810000,0.000,1.000,1.000,0.959
[82 of 100],820000,0.000,1.000,1.000,0.957
[83 of 100],830000,0.000,1.000,1.000,0.955
[84 of 100],840000,0.010,0.998,1.000,0.940
[85 of 100],850000,0.004,0.999,0.998,0.667
[86 of 100],860000,0.000,1.000,1.000,0.765
[87 of 100],870000,0.000,1.000,1.000,0.734
[88 of 100],880000,0.000,1.000,1.000,0.714
[89 of 100],890000,0.000,1.000,1.000,0.703
