Loading datasets...
Datasets loaded to GPU.
Worker 3/8: sweep 0acb79e7, 25/200 runs

[worker 3] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 53, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.120,0.958,0.999,0.938
[2 of 100],20000,0.028,0.993,1.000,0.974
[3 of 100],30000,0.035,0.990,1.000,0.999
[4 of 100],40000,0.005,0.999,0.999,0.895
[5 of 100],50000,0.002,1.000,1.000,0.957
[6 of 100],60000,0.000,1.000,1.000,0.929
[7 of 100],70000,0.000,1.000,1.000,0.948
[8 of 100],80000,0.000,1.000,1.000,0.947
[9 of 100],90000,0.000,1.000,1.000,0.948
[10 of 100],100000,0.000,1.000,1.000,0.948
[11 of 100],110000,0.000,1.000,1.000,0.947
[12 of 100],120000,0.000,1.000,1.000,0.948
[13 of 100],130000,0.000,1.000,1.000,0.950
[14 of 100],140000,0.000,1.000,1.000,0.968
[15 of 100],150000,0.000,1.000,1.000,0.967
[16 of 100],160000,0.019,0.995,1.000,0.864
[17 of 100],170000,0.001,0.999,1.000,0.870
[18 of 100],180000,0.000,1.000,1.000,0.898
[19 of 100],190000,0.004,0.999,1.000,0.877
[20 of 100],200000,0.000,1.000,1.000,0.882
[21 of 100],210000,0.000,1.000,1.000,0.888
[22 of 100],220000,0.000,1.000,1.000,0.887
[23 of 100],230000,0.000,1.000,1.000,0.888
[24 of 100],240000,0.000,1.000,1.000,0.889
[25 of 100],250000,0.011,0.998,1.000,0.897
[26 of 100],260000,0.000,1.000,1.000,0.897
[27 of 100],270000,0.000,1.000,1.000,0.903
[28 of 100],280000,0.000,1.000,1.000,0.905
[29 of 100],290000,0.003,1.000,1.000,0.782
[30 of 100],300000,0.000,1.000,1.000,0.799
[31 of 100],310000,0.000,1.000,1.000,0.824
[32 of 100],320000,0.000,1.000,1.000,0.850
[33 of 100],330000,0.006,0.999,1.000,0.773
[34 of 100],340000,0.000,1.000,1.000,0.793
[35 of 100],350000,0.000,1.000,1.000,0.819
[36 of 100],360000,0.000,1.000,1.000,0.361
[37 of 100],370000,0.000,1.000,1.000,0.334
[38 of 100],380000,0.000,1.000,1.000,0.333
[39 of 100],390000,0.000,1.000,1.000,0.326
[40 of 100],400000,0.000,1.000,1.000,0.322
[41 of 100],410000,0.000,1.000,1.000,0.323
[42 of 100],420000,0.000,1.000,1.000,0.329
[43 of 100],430000,0.000,1.000,1.000,0.334
[44 of 100],440000,0.000,1.000,1.000,0.334
[45 of 100],450000,0.000,1.000,1.000,0.334
[46 of 100],460000,0.000,1.000,1.000,0.336
[47 of 100],470000,0.000,1.000,1.000,0.340
[48 of 100],480000,0.000,1.000,1.000,0.342
[49 of 100],490000,0.024,0.997,1.000,0.852
[50 of 100],500000,0.000,1.000,1.000,0.795
[51 of 100],510000,0.000,1.000,1.000,0.786
[52 of 100],520000,0.000,1.000,1.000,0.770
[53 of 100],530000,0.000,1.000,1.000,0.724
[54 of 100],540000,0.000,1.000,1.000,0.730
[55 of 100],550000,0.000,1.000,1.000,0.735
[56 of 100],560000,0.000,1.000,1.000,0.734
[57 of 100],570000,0.000,1.000,1.000,0.736
[58 of 100],580000,0.000,1.000,1.000,0.740
[59 of 100],590000,0.000,1.000,1.000,0.743
[60 of 100],600000,0.000,1.000,1.000,0.755
[61 of 100],610000,0.000,1.000,1.000,0.759
[62 of 100],620000,0.000,1.000,1.000,0.782
[63 of 100],630000,0.000,1.000,1.000,0.794
[64 of 100],640000,0.000,1.000,1.000,0.813
[65 of 100],650000,0.000,1.000,1.000,0.817
[66 of 100],660000,0.000,1.000,1.000,0.829
[67 of 100],670000,0.000,1.000,1.000,0.834
[68 of 100],680000,0.000,1.000,1.000,0.850
[69 of 100],690000,0.000,1.000,1.000,0.854
[70 of 100],700000,0.000,1.000,1.000,0.833
[71 of 100],710000,0.000,1.000,1.000,0.846
[72 of 100],720000,0.000,1.000,1.000,0.850
[73 of 100],730000,0.000,1.000,1.000,0.849
[74 of 100],740000,0.000,1.000,1.000,0.856
[75 of 100],750000,0.000,1.000,1.000,0.862
[76 of 100],760000,0.013,0.998,1.000,0.480
[77 of 100],770000,0.000,1.000,1.000,0.476
[78 of 100],780000,0.000,1.000,1.000,0.467
[79 of 100],790000,0.000,1.000,1.000,0.469
[80 of 100],800000,0.000,1.000,1.000,0.470
[81 of 100],810000,0.000,1.000,1.000,0.465
[82 of 100],820000,0.000,1.000,1.000,0.475
[83 of 100],830000,0.000,1.000,1.000,0.461
[84 of 100],840000,0.000,1.000,1.000,0.465
[85 of 100],850000,0.000,1.000,1.000,0.475
[86 of 100],860000,0.000,1.000,1.000,0.478
[87 of 100],870000,0.000,1.000,1.000,0.485
[88 of 100],880000,0.000,1.000,1.000,0.486
[89 of 100],890000,0.000,1.000,1.000,0.489
[90 of 100],900000,0.000,1.000,1.000,0.488
[91 of 100],910000,0.000,1.000,1.000,0.486
[92 of 100],920000,0.000,1.000,1.000,0.486
[93 of 100],930000,0.000,1.000,1.000,0.486
[94 of 100],940000,0.000,1.000,1.000,0.484
[95 of 100],950000,0.000,1.000,1.000,0.477
[96 of 100],960000,0.000,1.000,1.000,0.472
[97 of 100],970000,0.000,1.000,1.000,0.470
[98 of 100],980000,0.000,1.000,1.000,0.468
[99 of 100],990000,0.000,1.000,1.000,0.470
[100 of 100],1000000,0.000,1.000,1.000,0.457

[worker 3] Run 2/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 211, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.149,0.946,0.998,0.937
[2 of 100],20000,0.029,0.992,1.000,0.832
[3 of 100],30000,0.023,0.994,1.000,0.896
[4 of 100],40000,0.001,1.000,1.000,0.915
[5 of 100],50000,0.011,0.997,0.994,0.990
[6 of 100],60000,0.003,0.999,1.000,0.987
[7 of 100],70000,0.000,1.000,1.000,0.996
[8 of 100],80000,0.021,0.995,1.000,0.981
[9 of 100],90000,0.000,1.000,1.000,0.976
[10 of 100],100000,0.000,1.000,1.000,0.976
[11 of 100],110000,0.000,1.000,1.000,0.991
