Loading datasets...
Datasets loaded to GPU.
Worker 1/8: sweep 0acb79e7, 25/200 runs

[worker 1] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 19, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.117,0.961,1.000,0.798
[2 of 100],20000,0.025,0.994,1.000,0.837
[3 of 100],30000,0.009,0.998,1.000,0.791
[4 of 100],40000,0.001,1.000,1.000,0.832
[5 of 100],50000,0.016,0.996,1.000,0.663
[6 of 100],60000,0.001,1.000,1.000,0.701
[7 of 100],70000,0.000,1.000,1.000,0.717
[8 of 100],80000,0.000,1.000,1.000,0.719
[9 of 100],90000,0.000,1.000,1.000,0.722
[10 of 100],100000,0.000,1.000,1.000,0.724
[11 of 100],110000,0.000,1.000,1.000,0.729
[12 of 100],120000,0.000,1.000,1.000,0.733
[13 of 100],130000,0.000,1.000,1.000,0.734
[14 of 100],140000,0.000,1.000,1.000,0.736
[15 of 100],150000,0.000,1.000,1.000,0.740
[16 of 100],160000,0.036,0.991,1.000,0.939
[17 of 100],170000,0.005,0.998,0.999,0.789
[18 of 100],180000,0.000,1.000,1.000,0.822
[19 of 100],190000,0.000,1.000,1.000,0.825
[20 of 100],200000,0.000,1.000,1.000,0.827
[21 of 100],210000,0.000,1.000,1.000,0.834
[22 of 100],220000,0.000,1.000,1.000,0.848
[23 of 100],230000,0.000,1.000,1.000,0.856
[24 of 100],240000,0.000,1.000,1.000,0.858
[25 of 100],250000,0.000,1.000,1.000,0.866
[26 of 100],260000,0.000,1.000,1.000,0.868
[27 of 100],270000,0.000,1.000,1.000,0.871
[28 of 100],280000,0.000,1.000,1.000,0.866
[29 of 100],290000,0.000,1.000,1.000,0.859
[30 of 100],300000,0.000,1.000,1.000,0.859
[31 of 100],310000,0.000,1.000,1.000,0.858
[32 of 100],320000,0.000,1.000,1.000,0.858
[33 of 100],330000,0.000,1.000,1.000,0.858
[34 of 100],340000,0.013,0.998,0.982,0.863
[35 of 100],350000,0.005,0.998,1.000,0.940
[36 of 100],360000,0.000,1.000,1.000,0.923
[37 of 100],370000,0.000,1.000,1.000,0.920
[38 of 100],380000,0.000,1.000,1.000,0.916
[39 of 100],390000,0.006,0.999,1.000,0.611
[40 of 100],400000,0.000,1.000,1.000,0.648
[41 of 100],410000,0.000,1.000,1.000,0.645
[42 of 100],420000,0.025,0.996,1.000,0.968
[43 of 100],430000,0.001,1.000,1.000,0.999
[44 of 100],440000,0.000,1.000,1.000,1.000
[45 of 100],450000,0.000,1.000,1.000,1.000
[46 of 100],460000,0.000,1.000,1.000,1.000
[47 of 100],470000,0.000,1.000,1.000,1.000
[48 of 100],480000,0.000,1.000,1.000,1.000
[49 of 100],490000,0.000,1.000,1.000,1.000
[50 of 100],500000,0.000,1.000,1.000,1.000
[51 of 100],510000,0.000,1.000,1.000,1.000
[52 of 100],520000,0.000,1.000,1.000,1.000
[53 of 100],530000,0.000,1.000,1.000,1.000
[54 of 100],540000,0.000,1.000,1.000,1.000
[55 of 100],550000,0.000,1.000,1.000,1.000
[56 of 100],560000,0.000,1.000,1.000,1.000
[57 of 100],570000,0.000,1.000,1.000,1.000
[58 of 100],580000,0.000,1.000,1.000,1.000
[59 of 100],590000,0.000,1.000,1.000,1.000
[60 of 100],600000,0.000,1.000,1.000,1.000
[61 of 100],610000,0.000,1.000,1.000,1.000
[62 of 100],620000,0.000,1.000,1.000,1.000
[63 of 100],630000,0.000,1.000,1.000,1.000
[64 of 100],640000,0.000,1.000,1.000,1.000
[65 of 100],650000,0.000,1.000,1.000,1.000
[66 of 100],660000,0.000,1.000,1.000,1.000
[67 of 100],670000,0.000,1.000,1.000,1.000
[68 of 100],680000,0.000,1.000,1.000,1.000
[69 of 100],690000,0.000,1.000,1.000,1.000
[70 of 100],700000,0.000,1.000,1.000,1.000
[71 of 100],710000,0.000,1.000,1.000,1.000
[72 of 100],720000,0.000,1.000,1.000,1.000
[73 of 100],730000,0.000,1.000,1.000,1.000
[74 of 100],740000,0.000,1.000,1.000,1.000
[75 of 100],750000,0.000,1.000,1.000,1.000
[76 of 100],760000,0.000,1.000,1.000,1.000
[77 of 100],770000,0.000,1.000,1.000,1.000
[78 of 100],780000,0.000,1.000,1.000,1.000
[79 of 100],790000,0.000,1.000,1.000,1.000
[80 of 100],800000,0.000,1.000,1.000,1.000
[81 of 100],810000,0.000,1.000,1.000,1.000
[82 of 100],820000,0.000,1.000,1.000,1.000
[83 of 100],830000,0.000,1.000,1.000,1.000
[84 of 100],840000,0.000,1.000,1.000,1.000
[85 of 100],850000,0.000,1.000,1.000,1.000
[86 of 100],860000,0.000,1.000,1.000,1.000
[87 of 100],870000,0.000,1.000,1.000,1.000
[88 of 100],880000,0.000,1.000,1.000,1.000
[89 of 100],890000,0.000,1.000,1.000,1.000
[90 of 100],900000,0.000,1.000,1.000,1.000
[91 of 100],910000,0.000,1.000,1.000,1.000
[92 of 100],920000,0.000,1.000,1.000,1.000
[93 of 100],930000,0.000,1.000,1.000,1.000
[94 of 100],940000,0.000,1.000,1.000,1.000
[95 of 100],950000,0.000,1.000,1.000,1.000
[96 of 100],960000,0.000,1.000,1.000,1.000
[97 of 100],970000,0.000,1.000,1.000,1.000
[98 of 100],980000,0.000,1.000,1.000,1.000
[99 of 100],990000,0.000,1.000,1.000,1.000
[100 of 100],1000000,0.000,1.000,1.000,1.000

[worker 1] Run 2/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 167, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.129,0.953,1.000,0.818
[2 of 100],20000,0.026,0.992,1.000,0.830
[3 of 100],30000,0.011,0.997,0.999,0.747
[4 of 100],40000,0.008,0.998,1.000,0.729
[5 of 100],50000,0.015,0.996,0.995,0.820
[6 of 100],60000,0.004,0.999,1.000,0.618
[7 of 100],70000,0.007,0.999,1.000,0.652
[8 of 100],80000,0.001,1.000,1.000,0.635
[9 of 100],90000,0.012,0.997,1.000,0.539
[10 of 100],100000,0.000,1.000,1.000,0.602
[11 of 100],110000,0.000,1.000,1.000,0.576
[12 of 100],120000,0.000,1.000,1.000,0.584
[13 of 100],130000,0.000,1.000,1.000,0.573
[14 of 100],140000,0.000,1.000,1.000,0.583
[15 of 100],150000,0.000,1.000,1.000,0.590
[16 of 100],160000,0.009,0.998,1.000,0.578
[17 of 100],170000,0.000,1.000,1.000,0.553
[18 of 100],180000,0.000,1.000,1.000,0.544
[19 of 100],190000,0.008,0.998,1.000,0.759
[20 of 100],200000,0.000,1.000,1.000,0.505
[21 of 100],210000,0.000,1.000,1.000,0.502
[22 of 100],220000,0.000,1.000,1.000,0.496
[23 of 100],230000,0.006,0.998,1.000,0.876
[24 of 100],240000,0.005,0.999,1.000,0.824
[25 of 100],250000,0.001,1.000,1.000,0.776
[26 of 100],260000,0.005,0.999,1.000,0.668
[27 of 100],270000,0.002,0.999,1.000,0.576
[28 of 100],280000,0.000,1.000,1.000,0.564
[29 of 100],290000,0.003,0.999,1.000,0.827
[30 of 100],300000,0.003,0.999,1.000,0.717
[31 of 100],310000,0.000,1.000,1.000,0.709
[32 of 100],320000,0.000,1.000,1.000,0.702
[33 of 100],330000,0.004,0.999,1.000,0.461
[34 of 100],340000,0.000,1.000,1.000,0.452
[35 of 100],350000,0.000,1.000,1.000,0.442
[36 of 100],360000,0.000,1.000,1.000,0.443
[37 of 100],370000,0.000,1.000,1.000,0.444
[38 of 100],380000,0.000,1.000,1.000,0.447
[39 of 100],390000,0.000,1.000,1.000,0.443
[40 of 100],400000,0.000,1.000,1.000,0.444
[41 of 100],410000,0.000,1.000,1.000,0.441
[42 of 100],420000,0.006,0.999,1.000,0.645
[43 of 100],430000,0.000,1.000,1.000,0.635
[44 of 100],440000,0.000,1.000,1.000,0.626
[45 of 100],450000,0.000,1.000,1.000,0.622
[46 of 100],460000,0.000,1.000,1.000,0.630
[47 of 100],470000,0.000,1.000,1.000,0.631
[48 of 100],480000,0.000,1.000,1.000,0.633
[49 of 100],490000,0.001,1.000,1.000,0.543
[50 of 100],500000,0.000,1.000,1.000,0.541
[51 of 100],510000,0.000,1.000,1.000,0.543
[52 of 100],520000,0.000,1.000,1.000,0.551
[53 of 100],530000,0.000,1.000,1.000,0.540
