Loading datasets...
Datasets loaded to GPU.
Worker 0/8: sweep 0acb79e7, 25/200 runs

[worker 0] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 7, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.133,0.954,0.999,0.917
[2 of 100],20000,0.014,0.997,1.000,0.991
[3 of 100],30000,0.001,1.000,1.000,0.984
[4 of 100],40000,0.001,1.000,1.000,0.995
[5 of 100],50000,0.000,1.000,1.000,0.995
[6 of 100],60000,0.005,0.999,1.000,0.891
[7 of 100],70000,0.008,0.998,1.000,0.777
[8 of 100],80000,0.000,1.000,1.000,0.831
[9 of 100],90000,0.000,1.000,1.000,0.833
[10 of 100],100000,0.000,1.000,1.000,0.834
[11 of 100],110000,0.000,1.000,1.000,0.836
[12 of 100],120000,0.000,1.000,1.000,0.836
[13 of 100],130000,0.000,1.000,1.000,0.837
[14 of 100],140000,0.000,1.000,1.000,0.845
[15 of 100],150000,0.000,1.000,1.000,0.851
[16 of 100],160000,0.020,0.997,1.000,0.892
[17 of 100],170000,0.004,0.999,1.000,0.494
[18 of 100],180000,0.000,1.000,1.000,0.426
[19 of 100],190000,0.000,1.000,1.000,0.407
[20 of 100],200000,0.000,1.000,1.000,0.390
[21 of 100],210000,0.000,1.000,1.000,0.374
[22 of 100],220000,0.000,1.000,1.000,0.355
[23 of 100],230000,0.000,1.000,1.000,0.349
[24 of 100],240000,0.000,1.000,1.000,0.344
[25 of 100],250000,0.000,1.000,1.000,0.339
[26 of 100],260000,0.000,1.000,1.000,0.335
[27 of 100],270000,0.000,1.000,1.000,0.324
[28 of 100],280000,0.000,1.000,1.000,0.321
[29 of 100],290000,0.000,1.000,1.000,0.316
[30 of 100],300000,0.000,1.000,1.000,0.314
[31 of 100],310000,0.000,1.000,1.000,0.311
[32 of 100],320000,0.000,1.000,1.000,0.317
[33 of 100],330000,0.000,1.000,1.000,0.318
[34 of 100],340000,0.000,1.000,1.000,0.317
[35 of 100],350000,0.000,1.000,1.000,0.313
[36 of 100],360000,0.000,1.000,1.000,0.311
[37 of 100],370000,0.000,1.000,1.000,0.308
[38 of 100],380000,0.000,1.000,1.000,0.307
[39 of 100],390000,0.000,1.000,1.000,0.307
[40 of 100],400000,0.000,1.000,1.000,0.307
[41 of 100],410000,0.000,1.000,1.000,0.307
[42 of 100],420000,0.000,1.000,1.000,0.304
[43 of 100],430000,0.000,1.000,1.000,0.300
[44 of 100],440000,0.000,1.000,1.000,0.298
[45 of 100],450000,0.000,1.000,1.000,0.298
[46 of 100],460000,0.000,1.000,1.000,0.299
[47 of 100],470000,0.000,1.000,1.000,0.299
[48 of 100],480000,0.000,1.000,1.000,0.299
[49 of 100],490000,0.000,1.000,1.000,0.299
[50 of 100],500000,0.000,1.000,1.000,0.300
[51 of 100],510000,0.000,1.000,1.000,0.302
[52 of 100],520000,0.000,1.000,1.000,0.300
[53 of 100],530000,0.000,1.000,1.000,0.302
[54 of 100],540000,0.000,1.000,1.000,0.302
[55 of 100],550000,0.000,1.000,1.000,0.302
[56 of 100],560000,0.000,1.000,1.000,0.298
[57 of 100],570000,0.000,1.000,1.000,0.298
[58 of 100],580000,0.000,1.000,1.000,0.297
[59 of 100],590000,0.000,1.000,1.000,0.294
[60 of 100],600000,0.000,1.000,1.000,0.295
[61 of 100],610000,0.000,1.000,1.000,0.294
[62 of 100],620000,0.000,1.000,1.000,0.295
[63 of 100],630000,0.000,1.000,1.000,0.295
[64 of 100],640000,0.000,1.000,1.000,0.295
[65 of 100],650000,0.000,1.000,1.000,0.295
[66 of 100],660000,0.000,1.000,1.000,0.295
[67 of 100],670000,0.000,1.000,1.000,0.295
[68 of 100],680000,0.000,1.000,1.000,0.295
[69 of 100],690000,0.000,1.000,1.000,0.293
[70 of 100],700000,0.000,1.000,1.000,0.293
[71 of 100],710000,0.000,1.000,1.000,0.293
[72 of 100],720000,0.000,1.000,1.000,0.293
[73 of 100],730000,0.000,1.000,1.000,0.293
[74 of 100],740000,0.000,1.000,1.000,0.295
[75 of 100],750000,0.000,1.000,1.000,0.297
[76 of 100],760000,0.000,1.000,1.000,0.295
[77 of 100],770000,0.000,1.000,1.000,0.295
[78 of 100],780000,0.000,1.000,1.000,0.296
[79 of 100],790000,0.000,1.000,1.000,0.296
[80 of 100],800000,0.000,1.000,1.000,0.296
[81 of 100],810000,0.000,1.000,1.000,0.297
[82 of 100],820000,0.000,1.000,1.000,0.295
[83 of 100],830000,0.000,1.000,1.000,0.295
[84 of 100],840000,0.000,1.000,1.000,0.295
[85 of 100],850000,0.000,1.000,1.000,0.295
[86 of 100],860000,0.000,1.000,1.000,0.295
[87 of 100],870000,0.000,1.000,1.000,0.296
[88 of 100],880000,0.000,1.000,1.000,0.296
[89 of 100],890000,0.000,1.000,1.000,0.296
[90 of 100],900000,0.000,1.000,1.000,0.296
[91 of 100],910000,0.000,1.000,1.000,0.296
[92 of 100],920000,0.000,1.000,1.000,0.295
[93 of 100],930000,0.000,1.000,1.000,0.296
[94 of 100],940000,0.000,1.000,1.000,0.297
[95 of 100],950000,0.000,1.000,1.000,0.296
[96 of 100],960000,0.000,1.000,1.000,0.297
