Loading datasets...
Datasets loaded to GPU.
Worker 7/8: sweep 0acb79e7, 25/200 runs

[worker 7] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 131, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.127,0.956,1.000,0.763
[2 of 100],20000,0.023,0.995,1.000,0.869
[3 of 100],30000,0.001,1.000,1.000,0.866
[4 of 100],40000,0.001,1.000,1.000,0.864
[5 of 100],50000,0.037,0.990,0.985,0.951
[6 of 100],60000,0.004,0.999,1.000,0.950
[7 of 100],70000,0.000,1.000,1.000,0.960
[8 of 100],80000,0.000,1.000,1.000,0.961
[9 of 100],90000,0.000,1.000,1.000,0.965
[10 of 100],100000,0.017,0.996,1.000,0.953
[11 of 100],110000,0.018,0.996,1.000,0.933
[12 of 100],120000,0.007,0.999,1.000,0.987
[13 of 100],130000,0.002,0.999,1.000,0.995
[14 of 100],140000,0.000,1.000,1.000,0.995
[15 of 100],150000,0.000,1.000,1.000,0.994
[16 of 100],160000,0.008,0.998,1.000,0.869
[17 of 100],170000,0.000,1.000,1.000,0.906
[18 of 100],180000,0.000,1.000,1.000,0.913
[19 of 100],190000,0.004,0.999,1.000,0.848
[20 of 100],200000,0.000,1.000,1.000,0.856
[21 of 100],210000,0.000,1.000,1.000,0.865
[22 of 100],220000,0.000,1.000,1.000,0.867
[23 of 100],230000,0.000,1.000,1.000,0.861
[24 of 100],240000,0.000,1.000,1.000,0.852
[25 of 100],250000,0.000,1.000,1.000,0.841
[26 of 100],260000,0.000,1.000,1.000,0.835
[27 of 100],270000,0.000,1.000,1.000,0.825
[28 of 100],280000,0.000,1.000,1.000,0.809
[29 of 100],290000,0.000,1.000,1.000,0.805
[30 of 100],300000,0.000,1.000,1.000,0.800
[31 of 100],310000,0.000,1.000,1.000,0.794
[32 of 100],320000,0.000,1.000,1.000,0.785
[33 of 100],330000,0.000,1.000,1.000,0.769
[34 of 100],340000,0.014,0.998,0.965,0.827
[35 of 100],350000,0.001,1.000,1.000,0.775
[36 of 100],360000,0.000,1.000,1.000,0.772
[37 of 100],370000,0.000,1.000,1.000,0.765
[38 of 100],380000,0.000,1.000,1.000,0.755
[39 of 100],390000,0.004,0.999,1.000,0.709
[40 of 100],400000,0.000,1.000,1.000,0.740
[41 of 100],410000,0.000,1.000,1.000,0.736
[42 of 100],420000,0.004,0.999,1.000,0.973
[43 of 100],430000,0.000,1.000,1.000,0.974
[44 of 100],440000,0.000,1.000,1.000,0.975
[45 of 100],450000,0.000,1.000,1.000,0.974
[46 of 100],460000,0.000,1.000,1.000,0.971
[47 of 100],470000,0.000,1.000,1.000,0.971
[48 of 100],480000,0.000,1.000,1.000,0.969
[49 of 100],490000,0.000,1.000,1.000,0.965
[50 of 100],500000,0.000,1.000,1.000,0.959
[51 of 100],510000,0.000,1.000,1.000,0.955
[52 of 100],520000,0.000,1.000,1.000,0.951
[53 of 100],530000,0.000,1.000,1.000,0.947
[54 of 100],540000,0.000,1.000,1.000,0.941
[55 of 100],550000,0.000,1.000,1.000,0.944
[56 of 100],560000,0.000,1.000,1.000,0.939
[57 of 100],570000,0.000,1.000,1.000,0.935
[58 of 100],580000,0.000,1.000,1.000,0.932
[59 of 100],590000,0.000,1.000,1.000,0.928
[60 of 100],600000,0.000,1.000,1.000,0.926
[61 of 100],610000,0.000,1.000,1.000,0.925
[62 of 100],620000,0.000,1.000,1.000,0.924
[63 of 100],630000,0.000,1.000,1.000,0.924
[64 of 100],640000,0.000,1.000,1.000,0.923
[65 of 100],650000,0.002,1.000,0.956,0.906
[66 of 100],660000,0.020,0.998,1.000,0.918
[67 of 100],670000,0.001,1.000,1.000,0.951
[68 of 100],680000,0.000,1.000,1.000,0.955
[69 of 100],690000,0.000,1.000,1.000,0.953
[70 of 100],700000,0.002,1.000,1.000,0.937
[71 of 100],710000,0.000,1.000,1.000,0.947
[72 of 100],720000,0.000,1.000,1.000,0.936
[73 of 100],730000,0.000,1.000,1.000,0.933
[74 of 100],740000,0.000,1.000,1.000,0.927
[75 of 100],750000,0.000,1.000,1.000,0.926
[76 of 100],760000,0.007,0.999,1.000,0.931
[77 of 100],770000,0.000,1.000,1.000,0.930
