Loading datasets...
Datasets loaded to GPU.
Worker 2/8: sweep 0acb79e7, 25/200 runs

[worker 2] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 37, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.129,0.956,1.000,0.968
[2 of 100],20000,0.022,0.994,1.000,0.971
[3 of 100],30000,0.009,0.998,1.000,0.893
[4 of 100],40000,0.004,0.999,1.000,0.730
[5 of 100],50000,0.001,1.000,1.000,0.881
[6 of 100],60000,0.008,0.998,1.000,0.848
[7 of 100],70000,0.002,1.000,1.000,0.850
[8 of 100],80000,0.013,0.996,1.000,0.808
[9 of 100],90000,0.000,1.000,1.000,0.746
[10 of 100],100000,0.000,1.000,1.000,0.761
[11 of 100],110000,0.000,1.000,1.000,0.769
[12 of 100],120000,0.000,1.000,1.000,0.773
[13 of 100],130000,0.000,1.000,1.000,0.778
[14 of 100],140000,0.000,1.000,1.000,0.783
[15 of 100],150000,0.000,1.000,1.000,0.786
[16 of 100],160000,0.007,0.998,1.000,0.686
[17 of 100],170000,0.000,1.000,1.000,0.678
[18 of 100],180000,0.000,1.000,1.000,0.691
[19 of 100],190000,0.000,1.000,1.000,0.669
[20 of 100],200000,0.000,1.000,1.000,0.680
[21 of 100],210000,0.000,1.000,1.000,0.687
[22 of 100],220000,0.000,1.000,1.000,0.687
[23 of 100],230000,0.000,1.000,1.000,0.689
[24 of 100],240000,0.000,1.000,1.000,0.692
[25 of 100],250000,0.015,0.997,1.000,0.634
[26 of 100],260000,0.000,1.000,1.000,0.648
[27 of 100],270000,0.000,1.000,1.000,0.656
[28 of 100],280000,0.000,1.000,1.000,0.665
[29 of 100],290000,0.000,1.000,1.000,0.675
[30 of 100],300000,0.000,1.000,1.000,0.674
[31 of 100],310000,0.000,1.000,1.000,0.674
[32 of 100],320000,0.000,1.000,1.000,0.672
[33 of 100],330000,0.005,0.999,1.000,0.729
[34 of 100],340000,0.001,1.000,1.000,0.709
[35 of 100],350000,0.000,1.000,1.000,0.719
[36 of 100],360000,0.000,1.000,1.000,0.682
[37 of 100],370000,0.000,1.000,1.000,0.681
[38 of 100],380000,0.004,0.999,1.000,0.649
[39 of 100],390000,0.002,0.999,1.000,0.568
[40 of 100],400000,0.000,1.000,1.000,0.554
[41 of 100],410000,0.000,1.000,1.000,0.554
[42 of 100],420000,0.003,1.000,1.000,0.592
[43 of 100],430000,0.000,1.000,1.000,0.601
[44 of 100],440000,0.000,1.000,1.000,0.604
[45 of 100],450000,0.000,1.000,1.000,0.613
[46 of 100],460000,0.004,0.999,1.000,0.584
[47 of 100],470000,0.000,1.000,1.000,0.547
[48 of 100],480000,0.000,1.000,1.000,0.646
[49 of 100],490000,0.000,1.000,1.000,0.420
[50 of 100],500000,0.000,1.000,1.000,0.349
[51 of 100],510000,0.000,1.000,1.000,0.353
[52 of 100],520000,0.000,1.000,1.000,0.351
[53 of 100],530000,0.000,1.000,1.000,0.350
[54 of 100],540000,0.000,1.000,1.000,0.348
[55 of 100],550000,0.000,1.000,1.000,0.348
[56 of 100],560000,0.000,1.000,1.000,0.343
[57 of 100],570000,0.000,1.000,1.000,0.339
[58 of 100],580000,0.000,1.000,1.000,0.335
[59 of 100],590000,0.000,1.000,1.000,0.328
[60 of 100],600000,0.000,1.000,1.000,0.320
[61 of 100],610000,0.000,1.000,1.000,0.313
[62 of 100],620000,0.000,1.000,1.000,0.311
[63 of 100],630000,0.000,1.000,1.000,0.308
[64 of 100],640000,0.000,1.000,1.000,0.304
[65 of 100],650000,0.010,0.999,0.992,0.073
[66 of 100],660000,0.003,0.999,1.000,0.173
[67 of 100],670000,0.000,1.000,1.000,0.175
[68 of 100],680000,0.000,1.000,1.000,0.170
[69 of 100],690000,0.000,1.000,1.000,0.170
[70 of 100],700000,0.000,1.000,1.000,0.168
[71 of 100],710000,0.003,0.999,1.000,0.314
