sweep_id,run_id,batch_size,opt,lr,wd,rdm_seed,n_layer,n_head,n_embd,embd_pdrop,resid_pdrop,attn_pdrop,datapoints_seen,train_acc,indist_acc,ood_acc
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,10000,0.9490000009536744,1.0,0.9030000567436218
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,10000,0.9580999612808228,0.999000072479248,0.9380000233650208
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,10000,0.9535999894142152,0.999000072479248,0.9170000553131104
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,10000,0.9655999541282654,1.0,0.8380000591278076
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,10000,0.9610999822616576,1.0,0.7980000376701355
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,10000,0.96069997549057,1.0,0.8990000486373901
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,10000,0.9556999802589417,1.0,0.968000054359436
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,10000,0.9555999636650084,1.0,0.7630000114440918
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,20000,0.993299961090088,1.0,0.9740000367164612
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,20000,0.9964999556541444,0.9430000185966492,0.9350000619888306
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,20000,0.9972999691963196,1.0,0.9910000562667848
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,20000,1.0,1.0,0.7990000247955322
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,20000,0.9943999648094176,1.0,0.971000075340271
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,20000,0.9937999844551086,1.0,0.8370000123977661
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,20000,0.9921000003814696,1.0,0.999000072479248
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,20000,0.9946999549865724,1.0,0.8690000176429749
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,30000,0.9900999665260316,1.0,0.999000072479248
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,30000,0.9966999888420104,1.0,0.8670000433921814
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,30000,1.0,1.0,0.984000027179718
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,30000,0.9978999495506288,1.0,0.893000066280365
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,30000,0.995799958705902,1.0,0.534000039100647
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,30000,0.9980999827384948,1.0,0.7910000085830688
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,30000,0.996399998664856,1.0,0.9860000610351562
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,30000,1.0,1.0,0.8660000562667847
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,40000,1.0,1.0,0.9950000643730164
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,40000,0.9988999962806702,0.999000072479248,0.8950000405311584
