Loading datasets...
Datasets loaded to GPU.
Worker 5/8: sweep 0acb79e7, 25/200 runs

[worker 5] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 97, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.104,0.966,1.000,0.838
[2 of 100],20000,0.003,1.000,1.000,0.799
[3 of 100],30000,0.016,0.996,1.000,0.534
[4 of 100],40000,0.002,1.000,1.000,0.737
[5 of 100],50000,0.010,0.997,1.000,0.957
[6 of 100],60000,0.002,1.000,1.000,0.958
[7 of 100],70000,0.000,1.000,1.000,0.953
[8 of 100],80000,0.008,0.998,1.000,0.782
[9 of 100],90000,0.002,0.999,1.000,0.925
[10 of 100],100000,0.000,1.000,1.000,0.928
[11 of 100],110000,0.002,1.000,1.000,0.843
[12 of 100],120000,0.000,1.000,1.000,0.837
[13 of 100],130000,0.000,1.000,1.000,0.839
[14 of 100],140000,0.000,1.000,1.000,0.839
[15 of 100],150000,0.000,1.000,1.000,0.839
[16 of 100],160000,0.000,1.000,1.000,0.839
[17 of 100],170000,0.000,1.000,1.000,0.834
[18 of 100],180000,0.000,1.000,1.000,0.836
[19 of 100],190000,0.000,1.000,1.000,0.837
[20 of 100],200000,0.000,1.000,1.000,0.836
[21 of 100],210000,0.000,1.000,1.000,0.835
[22 of 100],220000,0.000,1.000,1.000,0.835
[23 of 100],230000,0.000,1.000,1.000,0.833
[24 of 100],240000,0.000,1.000,1.000,0.833
[25 of 100],250000,0.000,1.000,1.000,0.833
[26 of 100],260000,0.000,1.000,1.000,0.833
[27 of 100],270000,0.000,1.000,1.000,0.833
[28 of 100],280000,0.000,1.000,1.000,0.833
[29 of 100],290000,0.000,1.000,1.000,0.832
[30 of 100],300000,0.000,1.000,1.000,0.832
[31 of 100],310000,0.000,1.000,1.000,0.833
[32 of 100],320000,0.000,1.000,1.000,0.834
[33 of 100],330000,0.000,1.000,1.000,0.836
[34 of 100],340000,0.000,1.000,1.000,0.836
[35 of 100],350000,0.000,1.000,1.000,0.836
[36 of 100],360000,0.000,1.000,1.000,0.836
[37 of 100],370000,0.000,1.000,1.000,0.837
[38 of 100],380000,0.000,1.000,1.000,0.837
[39 of 100],390000,0.000,1.000,1.000,0.837
[40 of 100],400000,0.000,1.000,1.000,0.837
[41 of 100],410000,0.000,1.000,1.000,0.837
[42 of 100],420000,0.000,1.000,1.000,0.837
[43 of 100],430000,0.000,1.000,1.000,0.837
[44 of 100],440000,0.000,1.000,1.000,0.836
[45 of 100],450000,0.000,1.000,1.000,0.836
[46 of 100],460000,0.000,1.000,1.000,0.836
[47 of 100],470000,0.000,1.000,1.000,0.837
[48 of 100],480000,0.000,1.000,1.000,0.837
[49 of 100],490000,0.000,1.000,1.000,0.837
[50 of 100],500000,0.000,1.000,1.000,0.837
[51 of 100],510000,0.000,1.000,1.000,0.837
[52 of 100],520000,0.000,1.000,1.000,0.837
[53 of 100],530000,0.000,1.000,1.000,0.837
[54 of 100],540000,0.000,1.000,1.000,0.837
[55 of 100],550000,0.000,1.000,1.000,0.837
[56 of 100],560000,0.000,1.000,1.000,0.837
[57 of 100],570000,0.000,1.000,1.000,0.837
[58 of 100],580000,0.000,1.000,1.000,0.837
[59 of 100],590000,0.000,1.000,1.000,0.836
[60 of 100],600000,0.000,1.000,1.000,0.836
[61 of 100],610000,0.000,1.000,1.000,0.836
[62 of 100],620000,0.000,1.000,1.000,0.837
[63 of 100],630000,0.000,1.000,1.000,0.836
[64 of 100],640000,0.000,1.000,1.000,0.837
[65 of 100],650000,0.000,1.000,1.000,0.836
[66 of 100],660000,0.000,1.000,1.000,0.836
[67 of 100],670000,0.000,1.000,1.000,0.836
[68 of 100],680000,0.000,1.000,1.000,0.836
[69 of 100],690000,0.000,1.000,1.000,0.837
[70 of 100],700000,0.000,1.000,1.000,0.837
[71 of 100],710000,0.000,1.000,1.000,0.837
