Loading datasets...
Datasets loaded to GPU.
Worker 5/8: sweep 0acb79e7, 25/200 runs

[worker 5] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 97, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[72 of 100],720000,0.000,1.000,1.000,0.837
[73 of 100],730000,0.000,1.000,1.000,0.836
[74 of 100],740000,0.000,1.000,1.000,0.837
[75 of 100],750000,0.000,1.000,1.000,0.836
[76 of 100],760000,0.000,1.000,1.000,0.836
[77 of 100],770000,0.000,1.000,1.000,0.836
[78 of 100],780000,0.000,1.000,1.000,0.836
[79 of 100],790000,0.000,1.000,1.000,0.836
[80 of 100],800000,0.000,1.000,1.000,0.836
[81 of 100],810000,0.000,1.000,1.000,0.836
[82 of 100],820000,0.000,1.000,1.000,0.836
[83 of 100],830000,0.000,1.000,1.000,0.836
[84 of 100],840000,0.000,1.000,1.000,0.836
[85 of 100],850000,0.000,1.000,1.000,0.836
[86 of 100],860000,0.000,1.000,1.000,0.836
[87 of 100],870000,0.000,1.000,1.000,0.836
[88 of 100],880000,0.000,1.000,1.000,0.836
[89 of 100],890000,0.000,1.000,1.000,0.836
[90 of 100],900000,0.000,1.000,1.000,0.836
[91 of 100],910000,0.000,1.000,1.000,0.836
[92 of 100],920000,0.000,1.000,1.000,0.836
[93 of 100],930000,0.000,1.000,1.000,0.836
[94 of 100],940000,0.000,1.000,1.000,0.836
[95 of 100],950000,0.000,1.000,1.000,0.836
[96 of 100],960000,0.000,1.000,1.000,0.836
[97 of 100],970000,0.000,1.000,1.000,0.836
[98 of 100],980000,0.000,1.000,1.000,0.836
[99 of 100],990000,0.000,1.000,1.000,0.836
[100 of 100],1000000,0.000,1.000,1.000,0.836

[worker 5] Run 2/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 257, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.128,0.955,1.000,0.897
[2 of 100],20000,0.017,0.997,1.000,0.844
[3 of 100],30000,0.001,1.000,1.000,0.844
[4 of 100],40000,0.000,1.000,1.000,0.845
[5 of 100],50000,0.016,0.995,0.982,0.591
[6 of 100],60000,0.010,0.997,1.000,0.659
[7 of 100],70000,0.000,1.000,1.000,0.668
[8 of 100],80000,0.009,0.998,1.000,0.627
[9 of 100],90000,0.001,1.000,1.000,0.655
[10 of 100],100000,0.002,1.000,1.000,0.743
[11 of 100],110000,0.000,1.000,1.000,0.728
[12 of 100],120000,0.000,1.000,1.000,0.729
[13 of 100],130000,0.000,1.000,1.000,0.726
[14 of 100],140000,0.000,1.000,1.000,0.725
[15 of 100],150000,0.000,1.000,1.000,0.725
[16 of 100],160000,0.007,0.998,1.000,0.847
[17 of 100],170000,0.000,1.000,1.000,0.809
[18 of 100],180000,0.010,0.998,1.000,0.801
[19 of 100],190000,0.000,1.000,1.000,0.790
[20 of 100],200000,0.009,0.998,1.000,0.660
[21 of 100],210000,0.000,1.000,1.000,0.632
[22 of 100],220000,0.000,1.000,1.000,0.632
[23 of 100],230000,0.000,1.000,1.000,0.627
[24 of 100],240000,0.000,1.000,1.000,0.630
[25 of 100],250000,0.011,0.998,1.000,0.401
[26 of 100],260000,0.000,1.000,1.000,0.390
[27 of 100],270000,0.000,1.000,1.000,0.392
[28 of 100],280000,0.000,1.000,1.000,0.390
[29 of 100],290000,0.004,0.999,1.000,0.743
[30 of 100],300000,0.000,1.000,1.000,0.710
[31 of 100],310000,0.000,1.000,1.000,0.697
[32 of 100],320000,0.000,1.000,1.000,0.677
[33 of 100],330000,0.003,0.999,1.000,0.740
[34 of 100],340000,0.001,1.000,0.995,0.813
[35 of 100],350000,0.000,1.000,1.000,0.781
[36 of 100],360000,0.000,1.000,1.000,0.801
[37 of 100],370000,0.000,1.000,1.000,0.792
[38 of 100],380000,0.000,1.000,1.000,0.790
[39 of 100],390000,0.000,1.000,1.000,0.789
[40 of 100],400000,0.000,1.000,1.000,0.789
[41 of 100],410000,0.000,1.000,1.000,0.789
[42 of 100],420000,0.000,1.000,1.000,0.789
[43 of 100],430000,0.000,1.000,1.000,0.788
[44 of 100],440000,0.000,1.000,1.000,0.788
[45 of 100],450000,0.000,1.000,1.000,0.787
[46 of 100],460000,0.000,1.000,1.000,0.787
[47 of 100],470000,0.000,1.000,1.000,0.786
[48 of 100],480000,0.000,1.000,1.000,0.786
[49 of 100],490000,0.000,1.000,1.000,0.786
[50 of 100],500000,0.000,1.000,1.000,0.787
[51 of 100],510000,0.000,1.000,1.000,0.787
[52 of 100],520000,0.000,1.000,1.000,0.786
[53 of 100],530000,0.000,1.000,1.000,0.786
[54 of 100],540000,0.000,1.000,1.000,0.786
[55 of 100],550000,0.000,1.000,1.000,0.784
[56 of 100],560000,0.000,1.000,1.000,0.784
[57 of 100],570000,0.000,1.000,1.000,0.778
[58 of 100],580000,0.000,1.000,1.000,0.778
[59 of 100],590000,0.000,1.000,1.000,0.776
[60 of 100],600000,0.000,1.000,1.000,0.776
[61 of 100],610000,0.000,1.000,1.000,0.778
[62 of 100],620000,0.000,1.000,1.000,0.778
[63 of 100],630000,0.000,1.000,1.000,0.779
[64 of 100],640000,0.000,1.000,1.000,0.780
[65 of 100],650000,0.000,1.000,1.000,0.781
[66 of 100],660000,0.000,1.000,1.000,0.781
[67 of 100],670000,0.000,1.000,1.000,0.781
[68 of 100],680000,0.000,1.000,1.000,0.781
[69 of 100],690000,0.000,1.000,1.000,0.781
[70 of 100],700000,0.000,1.000,1.000,0.780
[71 of 100],710000,0.000,1.000,1.000,0.781
[72 of 100],720000,0.000,1.000,1.000,0.781
[73 of 100],730000,0.000,1.000,1.000,0.780
[74 of 100],740000,0.000,1.000,1.000,0.780
[75 of 100],750000,0.000,1.000,1.000,0.768
[76 of 100],760000,0.000,1.000,1.000,0.771
[77 of 100],770000,0.000,1.000,1.000,0.772
[78 of 100],780000,0.000,1.000,1.000,0.774
[79 of 100],790000,0.000,1.000,1.000,0.775
[80 of 100],800000,0.000,1.000,1.000,0.775
[81 of 100],810000,0.000,1.000,1.000,0.776
[82 of 100],820000,0.000,1.000,1.000,0.777
[83 of 100],830000,0.000,1.000,1.000,0.777
[84 of 100],840000,0.000,1.000,1.000,0.778
[85 of 100],850000,0.000,1.000,1.000,0.778
[86 of 100],860000,0.000,1.000,1.000,0.778
[87 of 100],870000,0.000,1.000,1.000,0.778
[88 of 100],880000,0.000,1.000,1.000,0.778
[89 of 100],890000,0.000,1.000,1.000,0.778
[90 of 100],900000,0.000,1.000,1.000,0.778
[91 of 100],910000,0.000,1.000,1.000,0.778
[92 of 100],920000,0.000,1.000,1.000,0.779
[93 of 100],930000,0.000,1.000,1.000,0.780
[94 of 100],940000,0.000,1.000,1.000,0.780
[95 of 100],950000,0.000,1.000,1.000,0.780
[96 of 100],960000,0.000,1.000,1.000,0.780
[97 of 100],970000,0.000,1.000,1.000,0.778
[98 of 100],980000,0.000,1.000,1.000,0.778
[99 of 100],990000,0.000,1.000,1.000,0.778
[100 of 100],1000000,0.000,1.000,1.000,0.778

[worker 5] Run 3/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 421, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.137,0.952,1.000,0.980
[2 of 100],20000,0.004,1.000,1.000,0.987
[3 of 100],30000,0.020,0.996,1.000,0.887
[4 of 100],40000,0.001,1.000,1.000,0.902
[5 of 100],50000,0.000,1.000,1.000,0.908
[6 of 100],60000,0.010,0.997,0.999,0.875
[7 of 100],70000,0.009,0.998,1.000,0.740
[8 of 100],80000,0.000,1.000,1.000,0.753
[9 of 100],90000,0.000,1.000,1.000,0.756
[10 of 100],100000,0.000,1.000,1.000,0.760
[11 of 100],110000,0.000,1.000,1.000,0.761
[12 of 100],120000,0.000,1.000,1.000,0.758
[13 of 100],130000,0.000,1.000,1.000,0.759
[14 of 100],140000,0.000,1.000,1.000,0.759
[15 of 100],150000,0.000,1.000,1.000,0.758
[16 of 100],160000,0.000,1.000,1.000,0.761
[17 of 100],170000,0.000,1.000,1.000,0.759
[18 of 100],180000,0.000,1.000,1.000,0.768
[19 of 100],190000,0.000,1.000,1.000,0.769
[20 of 100],200000,0.000,1.000,1.000,0.768
[21 of 100],210000,0.000,1.000,1.000,0.766
[22 of 100],220000,0.000,1.000,1.000,0.766
[23 of 100],230000,0.000,1.000,1.000,0.766
[24 of 100],240000,0.000,1.000,1.000,0.765
[25 of 100],250000,0.000,1.000,1.000,0.766
[26 of 100],260000,0.000,1.000,1.000,0.766
[27 of 100],270000,0.000,1.000,1.000,0.766
[28 of 100],280000,0.000,1.000,1.000,0.766
[29 of 100],290000,0.000,1.000,1.000,0.769
[30 of 100],300000,0.000,1.000,1.000,0.768
[31 of 100],310000,0.000,1.000,1.000,0.768
[32 of 100],320000,0.000,1.000,1.000,0.769
[33 of 100],330000,0.000,1.000,1.000,0.769
[34 of 100],340000,0.000,1.000,1.000,0.769
[35 of 100],350000,0.000,1.000,1.000,0.769
[36 of 100],360000,0.000,1.000,1.000,0.771
[37 of 100],370000,0.000,1.000,1.000,0.771
[38 of 100],380000,0.000,1.000,1.000,0.771
[39 of 100],390000,0.000,1.000,1.000,0.771
[40 of 100],400000,0.000,1.000,1.000,0.771
[41 of 100],410000,0.000,1.000,1.000,0.771
[42 of 100],420000,0.000,1.000,1.000,0.771
[43 of 100],430000,0.000,1.000,1.000,0.771
[44 of 100],440000,0.000,1.000,1.000,0.771
[45 of 100],450000,0.000,1.000,1.000,0.771
[46 of 100],460000,0.000,1.000,1.000,0.771
[47 of 100],470000,0.000,1.000,1.000,0.771
[48 of 100],480000,0.000,1.000,1.000,0.771
[49 of 100],490000,0.000,1.000,1.000,0.771
[50 of 100],500000,0.000,1.000,1.000,0.770
[51 of 100],510000,0.000,1.000,1.000,0.770
[52 of 100],520000,0.000,1.000,1.000,0.770
[53 of 100],530000,0.000,1.000,1.000,0.770
[54 of 100],540000,0.000,1.000,1.000,0.770
[55 of 100],550000,0.000,1.000,1.000,0.770
[56 of 100],560000,0.000,1.000,1.000,0.769
[57 of 100],570000,0.000,1.000,1.000,0.768
[58 of 100],580000,0.000,1.000,1.000,0.768
[59 of 100],590000,0.000,1.000,1.000,0.768
[60 of 100],600000,0.000,1.000,1.000,0.768
[61 of 100],610000,0.000,1.000,1.000,0.768
[62 of 100],620000,0.000,1.000,1.000,0.769
[63 of 100],630000,0.000,1.000,1.000,0.769
[64 of 100],640000,0.000,1.000,1.000,0.769
[65 of 100],650000,0.000,1.000,1.000,0.769
[66 of 100],660000,0.000,1.000,1.000,0.769
[67 of 100],670000,0.000,1.000,1.000,0.769
[68 of 100],680000,0.000,1.000,1.000,0.769
[69 of 100],690000,0.000,1.000,1.000,0.769
[70 of 100],700000,0.000,1.000,1.000,0.769
[71 of 100],710000,0.000,1.000,1.000,0.769
[72 of 100],720000,0.000,1.000,1.000,0.769
[73 of 100],730000,0.000,1.000,1.000,0.769
[74 of 100],740000,0.000,1.000,1.000,0.769
[75 of 100],750000,0.000,1.000,1.000,0.769
[76 of 100],760000,0.000,1.000,1.000,0.769
[77 of 100],770000,0.000,1.000,1.000,0.769
[78 of 100],780000,0.000,1.000,1.000,0.769
[79 of 100],790000,0.000,1.000,1.000,0.769
[80 of 100],800000,0.000,1.000,1.000,0.769
[81 of 100],810000,0.000,1.000,1.000,0.769
[82 of 100],820000,0.000,1.000,1.000,0.769
[83 of 100],830000,0.000,1.000,1.000,0.769
[84 of 100],840000,0.000,1.000,1.000,0.770
[85 of 100],850000,0.000,1.000,1.000,0.770
[86 of 100],860000,0.000,1.000,1.000,0.770
[87 of 100],870000,0.000,1.000,1.000,0.769
[88 of 100],880000,0.000,1.000,1.000,0.769
[89 of 100],890000,0.000,1.000,1.000,0.769
[90 of 100],900000,0.000,1.000,1.000,0.769
[91 of 100],910000,0.000,1.000,1.000,0.769
[92 of 100],920000,0.000,1.000,1.000,0.769
[93 of 100],930000,0.000,1.000,1.000,0.769
[94 of 100],940000,0.000,1.000,1.000,0.769
[95 of 100],950000,0.000,1.000,1.000,0.769
[96 of 100],960000,0.000,1.000,1.000,0.769
[97 of 100],970000,0.000,1.000,1.000,0.769
[98 of 100],980000,0.000,1.000,1.000,0.769
[99 of 100],990000,0.000,1.000,1.000,0.769
[100 of 100],1000000,0.000,1.000,1.000,0.769

[worker 5] Run 4/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 607, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.128,0.956,0.999,0.883
[2 of 100],20000,0.021,0.995,1.000,0.871
[3 of 100],30000,0.007,0.998,1.000,0.801
[4 of 100],40000,0.001,1.000,1.000,0.831
[5 of 100],50000,0.025,0.992,1.000,0.922
[6 of 100],60000,0.022,0.994,1.000,0.941
[7 of 100],70000,0.002,1.000,1.000,0.895
[8 of 100],80000,0.001,1.000,1.000,0.888
[9 of 100],90000,0.000,1.000,1.000,0.891
[10 of 100],100000,0.000,1.000,1.000,0.897
[11 of 100],110000,0.000,1.000,1.000,0.901
[12 of 100],120000,0.009,0.997,1.000,0.869
[13 of 100],130000,0.000,1.000,1.000,0.825
[14 of 100],140000,0.000,1.000,1.000,0.834
[15 of 100],150000,0.000,1.000,1.000,0.849
[16 of 100],160000,0.005,0.999,1.000,0.808
[17 of 100],170000,0.000,1.000,1.000,0.812
[18 of 100],180000,0.000,1.000,1.000,0.826
[19 of 100],190000,0.010,0.998,1.000,0.771
[20 of 100],200000,0.002,1.000,1.000,0.714
[21 of 100],210000,0.000,1.000,1.000,0.720
[22 of 100],220000,0.000,1.000,1.000,0.754
[23 of 100],230000,0.010,0.998,1.000,0.828
[24 of 100],240000,0.002,0.999,1.000,0.835
[25 of 100],250000,0.000,1.000,1.000,0.736
[26 of 100],260000,0.000,1.000,1.000,0.747
[27 of 100],270000,0.000,1.000,1.000,0.745
[28 of 100],280000,0.000,1.000,1.000,0.742
[29 of 100],290000,0.025,0.995,0.989,0.933
[30 of 100],300000,0.002,1.000,1.000,0.934
[31 of 100],310000,0.012,0.998,1.000,0.808
[32 of 100],320000,0.000,1.000,1.000,0.800
[33 of 100],330000,0.003,0.999,1.000,0.832
[34 of 100],340000,0.001,1.000,1.000,0.823
[35 of 100],350000,0.000,1.000,1.000,0.820
[36 of 100],360000,0.000,1.000,1.000,0.816
[37 of 100],370000,0.000,1.000,1.000,0.814
[38 of 100],380000,0.005,0.999,1.000,0.729
[39 of 100],390000,0.002,1.000,1.000,0.694
[40 of 100],400000,0.001,1.000,1.000,0.768
[41 of 100],410000,0.000,1.000,1.000,0.768
[42 of 100],420000,0.002,1.000,1.000,0.628
[43 of 100],430000,0.000,1.000,1.000,0.642
[44 of 100],440000,0.000,1.000,1.000,0.679
[45 of 100],450000,0.000,1.000,1.000,0.682
[46 of 100],460000,0.000,1.000,1.000,0.642
[47 of 100],470000,0.000,1.000,1.000,0.646
[48 of 100],480000,0.000,1.000,1.000,0.649
[49 of 100],490000,0.006,0.999,1.000,0.884
[50 of 100],500000,0.002,0.999,1.000,0.982
[51 of 100],510000,0.000,1.000,1.000,0.974
[52 of 100],520000,0.003,0.999,1.000,0.800
[53 of 100],530000,0.001,1.000,1.000,0.574
[54 of 100],540000,0.000,1.000,1.000,0.566
[55 of 100],550000,0.000,1.000,1.000,0.558
[56 of 100],560000,0.000,1.000,1.000,0.553
[57 of 100],570000,0.000,1.000,1.000,0.543
[58 of 100],580000,0.000,1.000,1.000,0.538
[59 of 100],590000,0.000,1.000,1.000,0.531
[60 of 100],600000,0.000,1.000,1.000,0.524
[61 of 100],610000,0.000,1.000,1.000,0.518
[62 of 100],620000,0.000,1.000,1.000,0.517
[63 of 100],630000,0.000,1.000,1.000,0.512
[64 of 100],640000,0.000,1.000,1.000,0.510
[65 of 100],650000,0.000,1.000,1.000,0.508
[66 of 100],660000,0.000,1.000,1.000,0.505
[67 of 100],670000,0.000,1.000,1.000,0.500
[68 of 100],680000,0.000,1.000,1.000,0.496
[69 of 100],690000,0.000,1.000,1.000,0.496
[70 of 100],700000,0.000,1.000,1.000,0.495
[71 of 100],710000,0.000,1.000,1.000,0.491
[72 of 100],720000,0.000,1.000,1.000,0.489
[73 of 100],730000,0.000,1.000,1.000,0.487
[74 of 100],740000,0.000,1.000,1.000,0.486
[75 of 100],750000,0.000,1.000,1.000,0.490
[76 of 100],760000,0.009,0.999,1.000,0.814
[77 of 100],770000,0.000,1.000,1.000,0.809
[78 of 100],780000,0.000,1.000,1.000,0.841
[79 of 100],790000,0.000,1.000,1.000,0.829
[80 of 100],800000,0.000,1.000,1.000,0.817
[81 of 100],810000,0.000,1.000,1.000,0.808
[82 of 100],820000,0.000,1.000,1.000,0.804
[83 of 100],830000,0.000,1.000,1.000,0.801
[84 of 100],840000,0.007,0.999,1.000,0.825
[85 of 100],850000,0.000,1.000,1.000,0.803
[86 of 100],860000,0.000,1.000,1.000,0.786
[87 of 100],870000,0.007,0.999,1.000,0.774
[88 of 100],880000,0.001,1.000,1.000,0.857
[89 of 100],890000,0.000,1.000,1.000,0.800
[90 of 100],900000,0.006,0.998,1.000,0.743
[91 of 100],910000,0.000,1.000,1.000,0.680
[92 of 100],920000,0.000,1.000,1.000,0.674
[93 of 100],930000,0.000,1.000,1.000,0.617
[94 of 100],940000,0.002,0.999,1.000,0.130
[95 of 100],950000,0.000,1.000,1.000,0.149
[96 of 100],960000,0.000,1.000,1.000,0.169
[97 of 100],970000,0.001,1.000,1.000,0.370
[98 of 100],980000,0.000,1.000,1.000,0.355
[99 of 100],990000,0.001,1.000,0.999,0.032
[100 of 100],1000000,0.001,1.000,1.000,0.111

[worker 5] Run 5/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 797, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.140,0.947,0.992,0.896
[2 of 100],20000,0.023,0.995,1.000,0.986
[3 of 100],30000,0.002,1.000,1.000,0.891
[4 of 100],40000,0.001,1.000,1.000,0.890
[5 of 100],50000,0.000,1.000,1.000,0.890
[6 of 100],60000,0.000,1.000,1.000,0.895
[7 of 100],70000,0.000,1.000,1.000,0.899
[8 of 100],80000,0.050,0.994,1.000,0.824
[9 of 100],90000,0.002,1.000,1.000,0.720
[10 of 100],100000,0.000,1.000,1.000,0.731
[11 of 100],110000,0.000,1.000,1.000,0.727
[12 of 100],120000,0.000,1.000,1.000,0.733
[13 of 100],130000,0.000,1.000,1.000,0.751
[14 of 100],140000,0.000,1.000,1.000,0.751
[15 of 100],150000,0.000,1.000,1.000,0.747
[16 of 100],160000,0.000,1.000,1.000,0.750
[17 of 100],170000,0.026,0.995,1.000,0.721
[18 of 100],180000,0.000,1.000,1.000,0.695
[19 of 100],190000,0.000,1.000,1.000,0.693
[20 of 100],200000,0.000,1.000,1.000,0.693
[21 of 100],210000,0.000,1.000,1.000,0.716
[22 of 100],220000,0.000,1.000,1.000,0.715
[23 of 100],230000,0.000,1.000,1.000,0.715
[24 of 100],240000,0.000,1.000,1.000,0.715
[25 of 100],250000,0.000,1.000,1.000,0.715
[26 of 100],260000,0.000,1.000,1.000,0.712
[27 of 100],270000,0.000,1.000,1.000,0.710
[28 of 100],280000,0.000,1.000,1.000,0.700
[29 of 100],290000,0.000,1.000,1.000,0.699
[30 of 100],300000,0.000,1.000,1.000,0.694
[31 of 100],310000,0.000,1.000,1.000,0.694
[32 of 100],320000,0.000,1.000,1.000,0.691
[33 of 100],330000,0.000,1.000,1.000,0.690
[34 of 100],340000,0.009,0.998,1.000,0.590
[35 of 100],350000,0.000,1.000,1.000,0.593
[36 of 100],360000,0.000,1.000,1.000,0.592
[37 of 100],370000,0.000,1.000,1.000,0.598
[38 of 100],380000,0.000,1.000,1.000,0.596
[39 of 100],390000,0.000,1.000,1.000,0.706
[40 of 100],400000,0.000,1.000,1.000,0.676
[41 of 100],410000,0.000,1.000,1.000,0.669
[42 of 100],420000,0.000,1.000,1.000,0.652
[43 of 100],430000,0.000,1.000,1.000,0.653
[44 of 100],440000,0.000,1.000,1.000,0.639
[45 of 100],450000,0.000,1.000,1.000,0.641
[46 of 100],460000,0.000,1.000,1.000,0.612
[47 of 100],470000,0.000,1.000,1.000,0.606
[48 of 100],480000,0.000,1.000,1.000,0.599
[49 of 100],490000,0.018,0.997,1.000,0.842
[50 of 100],500000,0.000,1.000,1.000,0.875
[51 of 100],510000,0.000,1.000,1.000,0.863
[52 of 100],520000,0.002,0.999,1.000,0.725
[53 of 100],530000,0.000,1.000,1.000,0.722
[54 of 100],540000,0.000,1.000,1.000,0.718
[55 of 100],550000,0.000,1.000,1.000,0.712
[56 of 100],560000,0.000,1.000,1.000,0.710
[57 of 100],570000,0.000,1.000,1.000,0.700
[58 of 100],580000,0.000,1.000,1.000,0.680
[59 of 100],590000,0.000,1.000,1.000,0.675
[60 of 100],600000,0.000,1.000,1.000,0.660
[61 of 100],610000,0.000,1.000,1.000,0.653
[62 of 100],620000,0.000,1.000,1.000,0.644
[63 of 100],630000,0.000,1.000,1.000,0.632
[64 of 100],640000,0.000,1.000,1.000,0.622
[65 of 100],650000,0.000,1.000,1.000,0.617
[66 of 100],660000,0.000,1.000,1.000,0.602
[67 of 100],670000,0.000,1.000,1.000,0.597
[68 of 100],680000,0.000,1.000,1.000,0.596
[69 of 100],690000,0.000,1.000,1.000,0.593
[70 of 100],700000,0.000,1.000,1.000,0.592
[71 of 100],710000,0.000,1.000,1.000,0.591
[72 of 100],720000,0.000,1.000,1.000,0.590
[73 of 100],730000,0.000,1.000,1.000,0.624
[74 of 100],740000,0.000,1.000,1.000,0.619
[75 of 100],750000,0.000,1.000,1.000,0.625
[76 of 100],760000,0.000,1.000,1.000,0.607
[77 of 100],770000,0.000,1.000,1.000,0.608
[78 of 100],780000,0.000,1.000,1.000,0.601
[79 of 100],790000,0.000,1.000,1.000,0.608
[80 of 100],800000,0.000,1.000,1.000,0.588
[81 of 100],810000,0.000,1.000,1.000,0.600
[82 of 100],820000,0.000,1.000,1.000,0.608
[83 of 100],830000,0.000,1.000,1.000,0.617
[84 of 100],840000,0.000,1.000,1.000,0.617
[85 of 100],850000,0.000,1.000,1.000,0.617
[86 of 100],860000,0.000,1.000,1.000,0.621
[87 of 100],870000,0.000,1.000,1.000,0.609
[88 of 100],880000,0.000,1.000,1.000,0.613
[89 of 100],890000,0.000,1.000,1.000,0.617
[90 of 100],900000,0.000,1.000,1.000,0.617
[91 of 100],910000,0.000,1.000,1.000,0.617
[92 of 100],920000,0.000,1.000,1.000,0.618
[93 of 100],930000,0.000,1.000,1.000,0.620
[94 of 100],940000,0.009,0.999,1.000,0.759
[95 of 100],950000,0.008,0.999,1.000,0.773
